00   0 39264811 38346811 40182811 15.1 14.8 15.5 15727492 15239667 16215317 22.7 22.0 23.4  9814133  9407946 10220320 20.4 19.6 21.3  31241  31001  31481 5367476 5064223 5670729 26.5 25.0 28.0 United States                                 US
01  99     5291     4242     6340 21.6 17.3 25.9     2098     1674     2522 28.3 22.6 34.0     1420     1115     1725 26.6 20.9 32.3  24259  21969  26536                                        Monroe County                                 AL
01 101    43352    35014    51689 20.4 16.5 24.3    17320    13891    20750 29.5 23.7 35.3    11097     8762    13433 27.4 21.6 33.2  29832  27673  31979                                        Montgomery County                             AL
01 103    13631    10955    16307 12.9 10.4 15.4     4729     3778     5681 17.3 13.8 20.8     2958     2327     3590 15.4 12.1 18.6  33226  31014  35426                                        Morgan County                                 AL
01 105     5167     4115     6220 42.4 33.8 51.0     2019     1599     2438 51.5 40.8 62.2     1420     1107     1732 50.1 39.0 61.1  14469  12143  16783                                        Perry County                                  AL
01 107     5390     4327     6454 25.7 20.6 30.8     2042     1628     2456 34.3 27.4 41.3     1399     1099     1700 32.7 25.7 39.8  20448  18189  22695                                        Pickens County                                AL
01 109     6986     5599     8373 25.6 20.5 30.7     2267     1807     2728 31.9 25.4 38.4     1498     1175     1821 30.1 23.6 36.6  21112  18835  23376                                        Pike County                                   AL
01 111     3755     3015     4496 18.5 14.9 22.2     1267     1011     1524 24.2 19.3 29.0      838      658     1018 21.9 17.2 26.6  22639  20390  24876                                        Randolph County                               AL
01 113    10524     8446    12603 20.4 16.3 24.4     3860     3083     4636 28.2 22.5 33.8     2572     2024     3120 27.3 21.5 33.2  23877  21590  26152                                        Russell County                                AL
01 115     8907     7135    10679 16.2 13.0 19.5     3124     2477     3772 21.2 16.8 25.6     2057     1610     2504 19.9 15.6 24.3  28242  26014  30459                                        St. Clair County                              AL
01 117     9759     7824    11694  8.1  6.5  9.7     3725     2949     4502 11.4  9.0 13.7     2288     1782     2794 10.3  8.0 12.6  44889  42582  47183                                        Shelby County                                 AL
01 119     5521     4411     6631 35.2 28.1 42.2     2107     1674     2540 42.2 33.5 50.9     1460     1142     1778 40.7 31.9 49.6  16185  13881  18475                                        Sumter County                                 AL
01 121    16518    13336    19701 22.3 18.0 26.6     6101     4895     7307 29.9 24.0 35.8     3991     3153     4828 27.3 21.5 33.0  23754  21572  25925                                        Talladega County                              AL
01 123     7109     5692     8526 18.0 14.4 21.6     2356     1864     2847 23.6 18.7 28.5     1523     1185     1861 21.2 16.5 25.9  24637  22379  26882                                        Tallapoosa County                             AL
01 125    28946    23418    34473 19.3 15.6 23.0     9792     7870    11713 26.4 21.2 31.6     6149     4867     7431 23.7 18.7 28.6  27329  25195  29452                                        Tuscaloosa County                             AL
01 127    12248     9833    14664 17.7 14.2 21.2     4288     3423     5152 24.9 19.9 29.9     2825     2220     3429 22.5 17.7 27.3  23861  21631  26079                                        Walker County                                 AL
01 129     3801     3043     4559 22.1 17.7 26.5     1406     1120     1691 27.7 22.0 33.3      938      736     1139 25.3 19.8 30.7  23367  20939  25782                                        Washington County                             AL
01 131     5638     4495     6781 41.3 32.9 49.6     2358     1869     2847 50.7 40.2 61.2     1682     1311     2052 48.8 38.1 59.6  14242  11906  16566                                        Wilcox County                                 AL
01 133     3756     3015     4496 16.2 13.0 19.4     1244      992     1496 22.1 17.6 26.6      787      618      956 19.7 15.5 24.0  22547  20325  24756                                        Winston County                                AL
02   0    67099    60751    73447 11.2 10.1 12.2    30628    26543    34713 15.9 13.7 18.0    17496    13969    21023 13.3 10.6 16.0  39431  37807  41055   11548   10105   12991 20.3 17.8 22.9 Alaska                                        AK
