,Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014","Mortality Rate, 1981*","Mortality Rate, 1982*","Mortality Rate, 1983*","Mortality Rate, 1984*","Mortality Rate, 1986*","Mortality Rate, 1987*","Mortality Rate, 1988*","Mortality Rate, 1989*","Mortality Rate, 1991*","Mortality Rate, 1992*","Mortality Rate, 1993*","Mortality Rate, 1994*","Mortality Rate, 1996*","Mortality Rate, 1997*","Mortality Rate, 1998*","Mortality Rate, 1999*","Mortality Rate, 2001*","Mortality Rate, 2002*","Mortality Rate, 2003*","Mortality Rate, 2004*","Mortality Rate, 2006*","Mortality Rate, 2007*","Mortality Rate, 2008*","Mortality Rate, 2009*","Mortality Rate, 2011*","Mortality Rate, 2012*","Mortality Rate, 2013*"
2896,"Covington City, Virginia",51580.0,565.28,526.15,463.7,449.21,430.74,365.75,321.16,330.95,"-41.45 (-49.11, -32.08)",557.454,549.6279999999999,541.802,533.976,513.6600000000001,501.17,488.67999999999995,476.19000000000005,460.802,457.904,455.006,452.108,445.516,441.822,438.12800000000004,434.434,417.7420000000001,404.744,391.746,378.74800000000005,356.83200000000005,347.914,338.996,330.0780000000001,323.11800000000005,325.076,327.034
2897,"Craig County, Virginia",51045.0,572.22,524.52,458.32,433.19,396.52,332.51,289.09,270.64,"-52.70 (-58.06, -47.07)",562.6800000000001,553.14,543.6,534.06,511.28,498.03999999999996,484.79999999999995,471.56,453.294,448.268,443.24199999999996,438.216,425.856,418.522,411.188,403.85400000000004,383.718,370.91599999999994,358.11400000000003,345.312,323.82599999999996,315.142,306.45799999999997,297.774,285.4,281.71,278.02
2898,"Culpeper County, Virginia",51047.0,511.21,479.13,409.42,391.28,360.77,303.92,263.19,267.68,"-47.64 (-52.05, -43.09)",504.79400000000004,498.37800000000004,491.962,485.54600000000005,465.18800000000005,451.24600000000004,437.304,423.3620000000001,405.79200000000003,402.164,398.536,394.908,385.178,379.07599999999996,372.974,366.87199999999996,349.4,338.03,326.65999999999997,315.29,295.774,287.62800000000004,279.48199999999997,271.336,264.088,264.986,265.884
2899,"Cumberland County, Virginia",51049.0,489.33,454.75,400.48,378.62,345.43,293.37,250.29,247.28,"-49.47 (-54.77, -43.99)",482.414,475.49799999999993,468.582,461.666,443.896,433.042,422.188,411.334,396.108,391.736,387.36400000000003,382.992,371.982,365.344,358.706,352.068,335.01800000000003,324.606,314.19399999999996,303.78200000000004,284.754,276.138,267.522,258.906,249.688,249.08599999999998,248.48399999999998
2900,"Danville City, Virginia",51590.0,543.27,508.73,469.12,446.95,405.63,373.19,311.73,321.71,"-40.78 (-44.45, -36.98)",536.362,529.454,522.546,515.638,500.80800000000005,492.886,484.964,477.04200000000003,464.68600000000004,460.25199999999995,455.818,451.384,438.68600000000004,430.42199999999997,422.158,413.894,399.14200000000005,392.654,386.166,379.678,360.898,348.606,336.314,324.02200000000005,313.726,315.722,317.71799999999996
2901,"Dickenson County, Virginia",51051.0,565.55,524.97,471.46,447.25,408.36,357.47,314.98,311.01,"-45.01 (-50.55, -39.22)",557.434,549.318,541.202,533.086,514.268,503.56600000000003,492.86400000000003,482.16200000000003,466.618,461.77599999999995,456.93399999999997,452.092,439.47200000000004,431.69399999999996,423.916,416.13800000000003,398.1820000000001,388.004,377.826,367.6480000000001,348.9720000000001,340.47400000000005,331.976,323.47800000000007,314.18600000000004,313.392,312.598
2902,"Dinwiddie County, Virginia",51053.0,515.57,477.32,418.26,390.53,354.12,312.44,287.46,284.68,"-44.78 (-49.44, -39.65)",507.9200000000001,500.27000000000004,492.62,484.97,465.508,453.696,441.884,430.072,412.714,407.168,401.62199999999996,396.07599999999996,383.248,375.966,368.68399999999997,361.402,345.784,337.448,329.11199999999997,320.776,307.444,302.448,297.452,292.456,286.904,286.34799999999996,285.792
2903,"Emporia City, Virginia",51595.0,606.4,568.67,500.05,505.51,496.57,436.6,393.33,395.39,"-34.80 (-40.79, -28.29)",598.854,591.308,583.762,576.216,554.946,541.222,527.4979999999999,513.774,501.14200000000005,502.234,503.326,504.418,503.72200000000004,501.93399999999997,500.146,498.35800000000006,484.576,472.582,460.58799999999997,448.59400000000005,427.946,419.292,410.63800000000003,401.984,393.74199999999996,394.154,394.566
2904,"Essex County, Virginia",51057.0,494.67,448.56,394.19,381.96,362.07,305.09,272.81,275.33,"-44.34 (-49.90, -38.22)",485.44800000000004,476.226,467.004,457.78200000000004,437.68600000000004,426.812,415.938,405.064,391.744,389.298,386.852,384.406,377.98199999999997,374.004,370.02599999999995,366.048,350.674,339.278,327.88199999999995,316.486,298.634,292.178,285.722,279.266,273.314,273.818,274.322
2905,"Fairfax City, Virginia",51600.0,416.01,366.86,296.52,271.37,233.19,189.06,164.02,157.75,"-62.08 (-63.97, -60.09)",406.18,396.35,386.52,376.69,352.79200000000003,338.72400000000005,324.65599999999995,310.588,291.49,286.46,281.43,276.4,263.73400000000004,256.098,248.462,240.82600000000002,224.36400000000003,215.538,206.712,197.88600000000002,184.05200000000002,179.04399999999998,174.036,169.02800000000002,162.76600000000002,161.512,160.25799999999998
2906,"Fairfax County, Virginia",51059.0,416.01,366.86,296.52,271.37,233.19,189.06,164.02,157.75,"-62.08 (-63.97, -60.09)",406.18,396.35,386.52,376.69,352.79200000000003,338.72400000000005,324.65599999999995,310.588,291.49,286.46,281.43,276.4,263.73400000000004,256.098,248.462,240.82600000000002,224.36400000000003,215.538,206.712,197.88600000000002,184.05200000000002,179.04399999999998,174.036,169.02800000000002,162.76600000000002,161.512,160.25799999999998
2907,"Falls Church City, Virginia",51610.0,436.03,377.38,312.67,286.03,256.56,215.73,180.1,166.3,"-61.86 (-66.83, -56.44)",424.3,412.57,400.84000000000003,389.11,364.438,351.496,338.554,325.612,307.34200000000004,302.014,296.686,291.358,280.13599999999997,274.24199999999996,268.348,262.454,248.394,240.228,232.062,223.89600000000002,208.604,201.478,194.35199999999998,187.226,177.34000000000003,174.57999999999998,171.82
2908,"Fauquier County, Virginia",51061.0,543.44,491.44,408.52,370.27,323.51,273.64,231.45,224.72,"-58.65 (-61.74, -55.43)",533.0400000000001,522.6400000000001,512.24,501.84000000000003,474.85600000000005,458.272,441.688,425.10400000000004,400.87,393.21999999999997,385.57,377.92,360.918,351.566,342.214,332.86199999999997,313.536,303.562,293.58799999999997,283.61400000000003,265.202,256.764,248.32599999999996,239.888,230.10399999999998,228.75799999999998,227.41199999999998
2909,"Floyd County, Virginia",51063.0,437.96,415.48,367.65,349.34,323.0,283.9,250.02,253.99,"-42.01 (-47.69, -36.33)",433.464,428.96799999999996,424.472,419.976,405.914,396.348,386.782,377.216,363.988,360.32599999999996,356.664,353.00199999999995,344.072,338.804,333.53599999999994,328.26800000000003,315.18000000000006,307.36,299.53999999999996,291.72,277.124,270.34799999999996,263.572,256.79600000000005,250.81400000000002,251.608,252.40200000000002
2910,"Fluvanna County, Virginia",51065.0,531.8,474.18,388.33,351.3,309.98,248.04,210.61,211.12,"-60.30 (-64.01, -55.98)",520.2760000000001,508.752,497.22799999999995,485.70400000000006,457.01000000000005,439.84,422.67,405.5,380.924,373.51800000000003,366.11199999999997,358.706,343.03600000000006,334.77200000000005,326.50800000000004,318.244,297.59200000000004,285.204,272.81600000000003,260.428,240.55400000000003,233.06799999999998,225.582,218.09600000000003,210.71200000000005,210.81400000000002,210.916
2911,"Franklin City, Virginia",51620.0,596.01,549.79,483.83,462.63,436.22,373.03,325.34,323.97,"-45.64 (-50.12, -40.60)",586.766,577.5219999999999,568.278,559.034,536.598,523.406,510.214,497.02200000000005,479.59000000000003,475.35,471.11,466.87000000000006,457.34800000000007,452.06600000000003,446.78400000000005,441.50200000000007,423.58200000000005,410.944,398.30600000000004,385.668,363.49199999999996,353.95399999999995,344.41599999999994,334.878,325.06600000000003,324.79200000000003,324.51800000000003
